id,userPrincipalName,displayName,department,jobTitle,officeLocation,country,companyName,usageLocation,managerUPN
bc8960a9-23b8-41e9-b924-56de3eb13b90,hiro.jarvis@contoso.com,Hiro Jarvis,Finance,Financial Analyst,London,United Kingdom,Contoso Ltd,United Kingdom,emerson.lockhart@contoso.com
37f8a88b-17fc-495a-87a0-ca6e0822e8f3,elliot.oakley@contoso.com,Elliot Oakley,Engineering,QA Engineer,Manchester,United Kingdom,Contoso Ltd,United Kingdom,harper.hollis@contoso.com
8b8148f6-b38a-488c-a65e-d389b74d0fb1,sawyer.hollis@contoso.com,Sawyer Hollis,Engineering,Site Reliability Engineer,London,United Kingdom,Contoso Ltd,United Kingdom,morgan.hollis@contoso.com
c241330b-01a9-471f-9e8a-774bcf36d58b,elliot.jarvis@contoso.com,Elliot Jarvis,Sales,Sales Development Rep,Sydney,Australia,Contoso Ltd,Australia,arun.hollis@contoso.com
562b0f79-c374-49ee-b50b-ea63371ecd7b,avery.fairbanks@contoso.com,Avery Fairbanks,Legal,Legal Counsel,Seattle,United States,Contoso Ltd,United States,emerson.bennett@contoso.com
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,riley.mercer@contoso.com,Riley Mercer,Finance,Financial Analyst,Singapore,Singapore,Contoso Ltd,Singapore,morgan.ingram@contoso.com
d453dd32-4b0d-4b41-8d52-88f1142c3fe8,tomas.novak@contoso.com,Tomas Novak,Customer Service,Team Lead,Manchester,United Kingdom,Contoso Ltd,United Kingdom,emerson.lockhart2@contoso.com
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,elliot.hollis@contoso.com,Elliot Hollis,Facilities,Facilities Coordinator,Seattle,United States,Contoso Ltd,United States,omar.vance@contoso.com
47294739-614f-43d7-99db-3ad0ddd1dfb2,omar.ingram@contoso.com,Omar Ingram,Marketing,Content Strategist,Manchester,United Kingdom,Contoso Ltd,United Kingdom,sam.sinclair@contoso.com
b3aa7efe-4458-4885-ab90-99a435a240ae,skyler.mercer@contoso.com,Skyler Mercer,Operations,Operations Manager,Dublin,Ireland,Contoso Ltd,Ireland,jordan.novak@contoso.com
6123fdf7-7656-4f72-a9d4-beef3eabedcb,sawyer.ziegler@contoso.com,Sawyer Ziegler,Finance,Controller,Dublin,Ireland,Contoso Ltd,Ireland,finley.whitlock2@contoso.com
0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,arun.lockhart@contoso.com,Arun Lockhart,Engineering,QA Engineer,Amsterdam,Netherlands,Contoso Ltd,Netherlands,harper.duval@contoso.com
f16287e4-e9c3-49e0-b602-f8ac10f1bc81,harper.jarvis@contoso.com,Harper Jarvis,Human Resources,Talent Coordinator,Seattle,United States,Contoso Ltd,United States,quinn.quill@contoso.com
24933b83-7577-40a9-a491-f0b2ea1fca65,harper.espinosa@contoso.com,Harper Espinosa,Sales,Sales Manager,Sydney,Australia,Contoso Ltd,Australia,riley.espinosa@contoso.com
95a76d79-bf3c-4c06-8343-08bc89fa6a68,hiro.sinclair@contoso.com,Hiro Sinclair,Information Technology,Service Desk Analyst,Amsterdam,Netherlands,Contoso Ltd,Netherlands,reese.ingram@contoso.com
827050a8-2369-4584-bf5e-9ff0ff50bde4,skyler.ingram@contoso.com,Skyler Ingram,Facilities,Workplace Manager,Singapore,Singapore,Contoso Ltd,Singapore,luca.vance@contoso.com
cac5b68c-28f4-4481-a0a0-4dc427209bdf,omar.ellery@contoso.com,Omar Ellery,Finance,Finance Manager,London,United Kingdom,Contoso Ltd,United Kingdom,finley.whitlock3@contoso.com
877409a9-77d2-4e02-bf01-cf99988c24c9,harper.novak@contoso.com,Harper Novak,Facilities,Workplace Manager,Manchester,United Kingdom,Contoso Ltd,United Kingdom,alex.delgado2@contoso.com
8976e334-e281-4efd-ae84-92171d53434b,arun.ziegler@contoso.com,Arun Ziegler,Engineering,Engineering Manager,London,United Kingdom,Contoso Ltd,United Kingdom,riley.amara@contoso.com
f42d47cc-00d4-4f59-b427-3ca3287d06ca,quinn.oakley@contoso.com,Quinn Oakley,Operations,Operations Manager,Manchester,United Kingdom,Contoso Ltd,United Kingdom,riley.delgado@contoso.com
4c66e0a8-a013-4c6e-9eda-4e161b3dbd5c,reese.fontaine@contoso.com,Reese Fontaine,Marketing,Marketing Analyst,Dublin,Ireland,Contoso Ltd,Ireland,riley.thorne2@contoso.com
f4188f3f-8a14-4e62-a95b-4715c333e861,morgan.mercer@contoso.com,Morgan Mercer,Engineering,Software Engineer,Amsterdam,Netherlands,Contoso Ltd,Netherlands,taylor.duval2@contoso.com
